learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.4375,0.0,1000.0,0.09367035524023676,0.16068227005555247,10000.0,0.0,73.0,37.0,37.0,9.0,0.0,0.0,1.0
20000.0,0.75,0.0,1000.0,0.08815279870924399,0.14338650667971733,20000.0,0.0,157.0,79.0,79.0,10.0,0.0,0.0,1.0
30000.0,1.0625,0.0,1000.0,0.08117915514570212,0.13709735905389336,30000.0,0.0,231.0,116.0,116.0,11.0,0.0,0.0,1.0
40000.0,1.375,0.0,1000.0,0.08444881601735128,0.13643153860071253,40000.0,0.0,285.0,143.0,143.0,12.0,0.0,0.0,1.0
50000.0,1.609375,0.0,1000.0,0.08353361836251338,0.14063850786656254,50000.0,0.0,363.0,182.0,182.0,13.0,0.0,0.0,1.0
60000.0,1.828125,0.0,1000.0,0.07674466701358634,0.13438165547948233,60000.0,0.0,441.0,221.0,221.0,14.0,0.0,0.0,1.0
70000.0,2.03125,0.0,1000.0,0.08308446590534922,0.1423927758481517,70000.0,0.0,519.0,260.0,260.0,15.0,0.0,0.0,1.0
80000.0,2.234375,0.0,1000.0,0.07448512853603285,0.12317288851752947,80000.0,0.0,589.0,295.0,295.0,15.0,0.0,0.0,1.0
90000.0,2.46875,0.0,1000.0,0.07507985053697193,0.1226932595531025,90000.0,0.0,645.0,323.0,323.0,16.0,0.0,0.0,1.0
100000.0,2.6875,0.0,1000.0,0.07910035738083854,0.14172790938959876,100000.0,0.0,713.0,357.0,357.0,16.0,0.0,0.0,1.0
110000.0,2.921875,0.0,1000.0,0.07284432095581231,0.12486811118367963,110000.0,0.0,803.0,402.0,402.0,17.0,0.0,0.0,1.0
120000.0,3.140625,0.0,1000.0,0.07458604612632148,0.12612785862906195,120000.0,0.0,877.0,439.0,439.0,17.0,0.0,0.0,1.0
130000.0,3.359375,0.0,1000.0,0.07331621316963592,0.12275974858783222,130000.0,0.0,959.0,480.0,480.0,17.0,0.0,0.0,1.0
140000.0,3.59375,0.0,1000.0,0.07226031957823183,0.12136792754762862,140000.0,0.0,1021.0,511.0,511.0,18.0,0.0,0.0,1.0
150000.0,3.90625,0.0,1000.0,0.06668349719419052,0.1127423413330908,150000.0,0.0,1103.0,552.0,552.0,18.0,0.0,0.0,1.0
160000.0,4.203125,0.0,1000.0,0.07066109612272972,0.12459196574323163,160000.0,0.0,1169.0,585.0,585.0,18.0,0.0,0.0,1.0
170000.0,4.4375,0.0,1000.0,0.07142661927871964,0.12232732150717268,170000.0,0.0,1239.0,620.0,620.0,19.0,0.0,0.0,1.0
180000.0,4.65625,0.0,1000.0,0.06723215844699963,0.11081757810484102,180000.0,0.0,1303.0,652.0,652.0,19.0,0.0,0.0,1.0
